country_code,SpatialDimType,year,value,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3
VUT,COUNTRY,2019,5.93501,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,
30,UNREGION,2019,3.05533,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE113
GLOBAL,GLOBAL,2019,0.41742,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE068
UNSDG_AUSTRALIANEWZEALAND,UNSDGREGION,2019,0.27657,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE50-54,ENVCAUSE,ENVCAUSE_ENVCAUSE113
UNSDG_EUROPENORTHERNAMR,UNSDGREGION,2019,0.00538,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE118
UNSDG_SUBSAHARANAFRICA,UNSDGREGION,2019,0.23197,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE45-49,ENVCAUSE,ENVCAUSE_ENVCAUSE114
150,UNREGION,2019,0.54388,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE118
SEN,COUNTRY,2019,5.58458,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE114,,
UNSDG_WESTERNASIANORTHERNAFR,UNSDGREGION,2019,0.11376,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE50-54,ENVCAUSE,ENVCAUSE_ENVCAUSE118
CAN,COUNTRY,2019,17.05015,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
UNSDG_EUROPENORTHERNAMR,UNSDGREGION,2019,0.14125,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE039
TON,COUNTRY,2019,2.26355,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,
AMR,REGION,2019,1.08882,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE068
VEN,COUNTRY,2019,33.32783,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
WPR,REGION,2019,1.15398,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE113
GLOBAL,GLOBAL,2019,1.61349,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE70-74,ENVCAUSE,ENVCAUSE_ENVCAUSE114
EGY,COUNTRY,2019,1.75199,SEX,SEX_MLE,ENVCAUSE,ENVCAUSE_ENVCAUSE068,,
9,UNREGION,2019,0.16059,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE60-64,ENVCAUSE,ENVCAUSE_ENVCAUSE114
MEX,COUNTRY,2019,28.75439,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
15,UNREGION,2019,1.03457,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGEAll,ENVCAUSE,ENVCAUSE_ENVCAUSE068
30,UNREGION,2019,0.64292,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE55-59,ENVCAUSE,ENVCAUSE_ENVCAUSE068
UNSDG_EUROPENORTHERNAMR,UNSDGREGION,2019,0.09086,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE50-54,ENVCAUSE,ENVCAUSE_ENVCAUSE068
ROU,COUNTRY,2019,5.45012,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE039,,
POL,COUNTRY,2019,68.8582,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,
UNSDG_EASTERNASIASOUTHEASTERNASIA,UNSDGREGION,2019,0.45916,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE45-49,ENVCAUSE,ENVCAUSE_ENVCAUSE114
SWE,COUNTRY,2019,15.07768,SEX,SEX_FMLE,ENVCAUSE,ENVCAUSE_ENVCAUSE113,,
UNSDG_EASTERNASIASOUTHEASTERNASIA,UNSDGREGION,2019,4.15414,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE80+,ENVCAUSE,ENVCAUSE_ENVCAUSE039
HUN,COUNTRY,2019,99.4909,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
145,UNREGION,2019,0.20069,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE50-54,ENVCAUSE,ENVCAUSE_ENVCAUSE068
35,UNREGION,2019,0.01658,SEX,SEX_BTSX,AGEGROUP,AGEGROUP_AGE35-39,ENVCAUSE,ENVCAUSE_ENVCAUSE068
UNSDG_EUROPENORTHERNAMR,UNSDGREGION,2019,0.15436,SEX,SEX_FMLE,AGEGROUP,AGEGROUP_AGE45-49,ENVCAUSE,ENVCAUSE_ENVCAUSE113
WB_LIMI,WORLDBANKINCOMEGROUP,2019,0.65552,SEX,SEX_MLE,AGEGROUP,AGEGROUP_AGE75-79,ENVCAUSE,ENVCAUSE_ENVCAUSE039
LVA,COUNTRY,2019,110.61884,SEX,SEX_BTSX,ENVCAUSE,ENVCAUSE_ENVCAUSE000,,
